No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
1,挨,ái,to suffer from; to endure; to tide over (a difficult period); to delay,我慢する,他挨了很多苦难。,彼は多くの苦難に耐えた。,He endured many hardships.,在寒冷的冬夜里，他耐心地挨家挨户送去温暖的食物和衣物。,寒い冬の夜に、彼は辛抱強く一軒一軒に温かい食べ物と衣服を届けた。
2,癌症,ái zhèng,cancer,がん,癌症需要早期治疗。,がんは早期治療が必要だ。,Cancer requires early treatment.,现代医学虽然在癌症治疗方面取得了重大突破，但仍然面临许多挑战。,現代医学はがん治療の分野で大きな突破を遂げたが、依然として多くの課題に直面している。
3,暧昧,ài mèi,vague; ambiguous; equivocal; dubious,曖昧,他们关系很暧昧。,彼らの関係はとても曖昧だ。,Their relationship is very ambiguous.,他们之间的关系十分暧昧，让人难以判断到底是朋友还是恋人。,彼らの関係は非常に曖昧で、友達なのか恋人なのか判断しにくい。
4,爱不释手,ài bù shì shǒu,to love sth too much to part with it (idiom); to fondle admiringly,手放せない,这本书我爱不释手。,この本は手放せないほど好きだ。,I love this book so much that I can't put it down.,这本珍贵的古籍让他爱不释手，几乎每天都要翻阅几遍。,この貴重な古書に彼は夢中で、ほとんど毎日何度もページをめくっている。
5,爱戴,ài dài,to love and respect; love and respect,愛戴,学生们都很爱戴老师。,学生たちは皆先生をとても慕っている。,The students all admire the teacher very much.,由于他多年来的奉献，大家对他充满了爱戴和尊敬。,長年の献身により、皆が彼に愛戴と敬意を抱いている。
6,安宁,ān níng,peaceful; tranquil; calm; composed,安寧,他渴望内心的安宁。,彼は心の安らぎを渇望している。,He longs for inner peace.,经过一整天的忙碌，他们终于在宁静的乡村享受到了片刻的安宁。,一日中忙しく働いた後、彼らはついに静かな田舎でひとときの安らぎを味わった。
7,安详,ān xiáng,serene,安詳,老人脸上露出安详。,老人の顔に安らかな表情が浮かんだ。,A serene expression appeared on the old man's face.,老人的面容安详，仿佛经历了岁月的洗礼与沉淀。,老人の顔は安らかで、まるで歳月の洗礼と沈殿を経たかのようだ。
8,安置,ān zhì,find a place for; help settle down; arrange for; to get into bed; placement,安置,政府安置了灾民。,政府は被災者を安置した。,The government resettled the disaster victims.,政府为受灾群众及时安置了临时住所，保障了基本生活需求。,政府は被災者に対して迅速に仮設住宅を安置し、基本的な生活ニーズを保障した。
9,按摩,àn mó,massage,マッサージ,她喜欢每天按摩。,彼女は毎日のマッサージが好きだ。,She likes to have a massage every day.,她每天坚持按摩手部，不仅缓解疲劳，还促进了血液循环。,彼女は毎日手のマッサージを欠かさず、疲労を和らげるだけでなく血液循環も促進している。
10,暗示,àn shì,to hint; to suggest; suggestion; a hint,暗示,他的表情暗示不同意。,彼の表情は同意しないことを示唆している。,His expression hinted at disagreement.,他的言语中暗示了即将发生的重要变化，引起了大家的关注。,彼の言葉には近く重要な変化が起こることを暗示しており、皆の関心を引いた。
