c_word,j_word,c_sentence,j_sentence,english sentence,pinyin
饼干,ビスケット,我喜欢吃饼干。,私はクッキーを食べます。,I eat cookies.,bǐng gān
饺子,餃子,我爱吃饺子。,私は餃子を食べるのが大好きです。,I love eating dumplings.,jiǎozi
巧克力,チョコレート,我爱吃巧克力。,私はチョコレートを食べるのが大好きです。,I love eating chocolate.,qiǎokèlì
西红柿,トマト,我喜欢吃西红柿。,私はトマトを食べるのが好きです。,I like to eat tomatoes.,xī hóng shì
饮料,飲み物,我喜欢喝饮料。,私は飲み物を飲むのが好きです。,I like drinking drinks.,yǐnliào
长城,万里の長城,长城非常雄伟。,万里の長城はとても雄大です。,The Great Wall of China is very magnificent.,Cháng chéng
长江,長江,长江是中国第一大河。,長江は中国で一番大きな川です。,The Yangtze River is the largest river in China.,Chángjiāng
大使馆,大使館,大使馆在哪儿?,大使館はどこですか。,Where is the embassy?,dà shǐ guǎn
地球,地球,保护地球环境。,地球の環境を守る。,Protect the global environment.,dìqiú
地址,住所,我的地址是哪儿？,私の住所はどこですか？,What is my address?,dì zhǐ
省,省,你来自哪个省？,どこの省出身ですか？,Which province are you from?,shěng
狮子,ライオン,狮子吃肉。,獅子は肉を食べます。,The lion eats meat.,shī zi
猪,ぶた,那只猪很胖。,その豚はとても太っています。,That pig is very fat.,zhū (zhu1)
猴子,さる,猴子喜欢吃香蕉。,猿はバナナを食べるのが好きです。,Monkeys like to eat bananas.,hóu zi
窗户,まど,窗户打开了。,窓が開いた。,The window opened.,chuāng hu
词典,辞書,我要买词典。,辞書を買いたいです。,I want to buy a dictionary.,cídiǎn
刀,ナイフ,我有一把刀。,私はナイフを一本持っています。,I have one knife.,dāo
科学,科学,科学很有用。,科学はとても役に立ちます。,Science is very useful.,kēxué
理发,髪を切る,我想去理发。,髪を切りたいです。,I want to get a haircut.,lǐ fà
俩,2つ,我们俩去。,私たち二人で行きます。,The two of us will go.,liǎ
弹钢琴,ピアノを弾く,她喜欢弹钢琴。,彼女はピアノを弾くのが好きです。,She likes playing the piano.,tán gāngqín
中文,中国語,我喜欢学中文。,私は中国語を学ぶのが好きです。,I like learning Chinese.,Zhōngwén
安排,スケジュール,我有安排了。,予定があります。,I have plans.,ānpái
包括,含む,包括十个章节,10章が含まれています,10 chapters are included.,bāokuò
保证,保証する,我保证做到。,約束します。,I promise.,bǎozhèng
报道,報道する,新闻报道很快。,ニュースの報道は速いです。,The news report is fast.,bàodào
报名,登録する,我想报名参加。,参加を申し込みたいです。,I would like to apply to participate.,bào míng
表达,表現する,我不太会表达。,うまく表現できません。,I can't express myself properly.,biǎodá
表格,表,请填写表格。,フォームに記入してください。,Please fill out the form.,biǎo gé
部分,部分,这一部分很棒。,この部分は素晴らしいです。,This part is wonderful.,bùfèn
参观,見学する,我想参观。,見学したいです。,I want to visit.,cānguān
成功,成功する,希望你成功。,成功を祈っています。,I wish you success.,chénggōng
成熟,成熟する,她很成熟。,彼女はとても大人びています。,She is very mature for her age.,chéngshú
成为,〜になる,她想成为医生。,彼女は医者になりたいと思っています。,She wants to be a doctor.,chéngwéi
重新,やり直す,我们重新开始吧。,またやり直しましょう。,Let's start over.,chóng xīn
出差,出張する,我明天要出差。,私は明日出張に行きます。,I will go on a business trip tomorrow.,chūchāi
出发,出発する,我们明天出发。,私たちは明日出発します。,We will depart tomorrow.,chūfā
传真,ファックス,请给我传真。,私にファックスを送ってください。,Please send a fax to me.,chuán zhēn
答案,答え,他的答案是错的。,彼の答えは間違っています。,His answer is wrong.,dá'àn
打印,印刷する,请把文件打印出来。,ファイルを印刷してください。,Please print the file.,dǎyìn
打折,割引する,商店打八折。,店は20パーセントオフです。,The store is 20 percent off.,dǎzhé
代表,代表する,我代表公司。,私は会社を代表しています。,I represent the company.,dài biǎo
代替,替わる,他代替我去了。,彼は私の代わりに行ってくれました。,He went instead of me.,dài tì
当,〜になる,你想当老师吗?,あなたは先生になりたいですか。,Do you want to be a teacher?,dāng
到处,至るところに,到处都是人。,どこもかしこも人だらけです。,Everywhere is full of people.,dàochù
底,土台となる物,到底怎么回事？,一体どういうことですか？,What on earth is going on?,"dǐ (di3), de (de5)"
调查,調査する,我们正在调查。,私たちは調査中です。,We are investigating.,diàochá
对面,向かいの,我坐在他对面。,私は彼の向かいに座っています。,I am sitting across from him.,duìmiàn
发,送る,我发现你了。,あなたを見つけました。,I found you.,fā / fà / fa
发生,起こる,发生什么事了？,どうしましたか？,"What happened?, Are you okay?, Is everything alright?, What's the matter?",fāshēng
发展,発展する,"发展经济。
(Fāzhǎn jīngjì.)",経済を発展させる。 (Keizai o hatten saseru.),Develop the economy.,fāzhǎn
法律,法律,我们遵守法律。,私たちは法律を遵守します。,We comply with the law.,fǎlǜ
翻译,翻訳する,请帮我翻译一下。,翻訳をお願いします。,Please translate.,fānyì
访问,訪問する,我访问了他。,私は彼を訪問しました。,I visited him.,fǎngwèn
失败,失敗する,别害怕失败。,失敗を恐れないで。,Don't be afraid to fail.,shībài
负责,担当する,你负责这个项目。,あなたがこのプロジェクトを担当します。,You will be in charge of this project.,fùzé
改变,変える,我改变主意了。,気が変わりました。,I've changed my mind.,gǎi biàn
干,する,你干什么呢？,何してるの？,What are you doing?,"gān, gàn"
工具,道具,这是个好工具。,これは良い道具です。,This is a good tool.,gōngjù
工资,給料,他涨工资了。,彼は昇給しました。,He got a raise.,gōngzī
共同,共同で,我们共同努力。,私たちは共に努力します。,We will work hard together.,gòngtóng
估计,見積もる,我估计他会来。,彼は来ると思います。,I think he will come.,gūjì
挂,かける,我把衣服挂起来了。,私は服をかけました。,I hung up the clothes.,guà
管理,管理する,她很会管理时间。,彼女は時間の管理がとても上手です。,She is very good at time management.,guǎnlǐ
广播,放送する,听广播新闻。,ラジオニュースを聞く。,Listen to the radio news.,guǎngbō
广告,広告,我看到一个广告。,私は広告を見ました。,I saw an advertisement.,guǎnggào
规定,規定,我们有规定。 (Wǒmen yǒu guīdìng.),私たちは規定があります。,We have rules.,guī dìng
过程,過程,这个过程很难。,このプロセスは難しいです。,This process is difficult.,guò chéng
航班,フライト,航班延误了。,フライトが遅延しました。,The flight was delayed.,hángbān
合适,合う,这个很合适。,これはとても合っています。,This is very correct.,hé shì
