No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
1,啊,a,"modal particle ending sentence, showing affirmation, approval, or consent",感嘆詞,你好吗？,お元気ですか？,How are you?,你来了啊，我很高兴见到你。,あなたが来たね、会えてとてもうれしいです。
2,阿姨,ā yí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:个,おばさん,阿姨来了。,おばさんが来ました。,Auntie has arrived.,阿姨每天早上都会去市场买菜。,おばさんは毎朝市場に買い物に行きます。
3,矮,ǎi,low; short (in length),背が低い,他很矮。,彼は背が低いです。,He is short.,他虽然矮，但是跑得很快。,彼は背が低いけど、走るのがとても速いです。
4,爱好,ài hào,interest; hobby; appetite for; CL:个,趣味,我的爱好是画画。,私の趣味は絵を描くことです。,My hobby is drawing.,我的爱好是看书和听音乐。,私の趣味は読書と音楽を聴くことです。
5,安静,ān jìng,quiet; peaceful; calm,静か,请安静。,静かにしてください。,Please be quiet.,图书馆里必须保持安静。,図書館の中は静かにしなければなりません。
6,把,bǎ,to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle,把（動詞の前置）,把书给我。,その本を私にください。,Give me the book.,请把书放在桌子上，谢谢。,本をテーブルの上に置いてください、ありがとう。
7,搬,bān,to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically,引っ越す,我们搬家了。,私たちは引っ越しました。,We have moved.,我们下个月要搬到新房子去。,私たちは来月新しい家に引っ越す予定です。
8,班,bān,team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:个,クラス,今天有班会。,今日はクラス会があります。,There is a class meeting today.,我每天早上八点有一个班的课。,私は毎朝8時に1つのクラスがあります。
9,办法,bàn fǎ,"means; method; way (of doing sth); CL:条[tiao2] ,个",方法,我有办法。,私は方法があります。,I have a way.,遇到问题的时候要想办法解决。,問題に直面した時には解決方法を考えなければなりません。
10,办公室,bàn gōng shì,an office; business premises; a bureau; CL:间[jian1],事務所,办公室很大。,オフィスはとても大きいです。,The office is very big.,他的办公室在大楼的三层。,彼のオフィスはビルの3階にあります。
11,半,bàn,half; semi-; incomplete; (after a number) and a half,半分,半天没水。,半日水がありません。,No water for half a day.,现在已经过去半个小时了。,もう30分が過ぎました。
12,帮忙,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,手伝う,请帮忙。,手伝ってください。,Please help.,谢谢你帮忙搬家，我很感激。,引っ越しを手伝ってくれてありがとう、とても感謝しています。
13,包,bāo,"to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:个,只[zhi1]",包み,我有一个包。,私はバッグを一つ持っています。,I have a bag.,妈妈买了很多包子当早餐。,お母さんは朝食にたくさんの包子を買いました。
14,饱,bǎo,to eat till full; satisfied,満腹,我吃饱了。,お腹がいっぱいです。,I am full.,吃完晚饭后，我感到很饱。,夕食を食べ終わった後、とてもお腹がいっぱいです。
15,北方,běi fāng,north; the northern part a country; China north of the Yellow River,北方,北方天气冷。,北の方は天気が寒いです。,The weather in the north is cold.,北方的冬天比南方冷得多。,北方の冬は南方よりずっと寒いです。
16,被,bèi,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),〜に（受身）,书被我拿走。,本は私に取られました。,The book was taken by me.,他的手机被别人拿走了。,彼の携帯電話が誰かに持っていかれました。
17,鼻子,bí zi,"nose; CL:个,只[zhi1]",鼻,鼻子很大。,鼻が大きいです。,The nose is big.,他的鼻子有点儿不舒服，可能感冒了。,彼は鼻が少し調子が悪く、風邪をひいたかもしれません。
18,比较,bǐ jiào,compare; contrast; fairly; comparatively; relatively; quite; rather,比較的,他比较高。,彼は比較的背が高いです。,He is relatively tall.,这家餐厅的菜比较好吃。,このレストランの料理は比較的おいしいです。
19,比赛,bǐ sài,"competition (sports etc); match; CL:场[chang3] ,次[ci4]",試合,比赛开始了。,試合が始まりました。,The match has started.,我们班参加了学校的篮球比赛。,私たちのクラスは学校のバスケットボールの試合に参加しました。
20,笔记本,bǐ jì běn,notebook; CL:本[ben3],ノート,我有笔记本。,私はノートパソコンを持っています。,I have a notebook.,请把笔记本放在桌子上，谢谢。,ノートパソコンをテーブルの上に置いてください、ありがとう。
21,必须,bì xū,to have to; must; compulsory; necessarily,〜しなければならない,必须学习。,勉強しなければなりません。,You must study.,考试的时候必须带身份证和准考证。,試験の時は身分証と受験票を必ず持っていかなければなりません。
22,变化,biàn huà,change; variation; to change; to vary; CL:个,変化,天气有变化。,天気に変化があります。,There is a change in the weather.,这几年他的生活发生了很大变化。,ここ数年で彼の生活は大きく変わりました。
23,别人,bié rén,others,他人,别人的书。,他人の本。,Someone else's book.,别人的意见有时候也很重要。,他人の意見も時にはとても重要です。
24,冰箱,bīng xiāng,"icebox; freezer cabinet; refrigerator; CL:台[tai2] ,个",冷蔵庫,冰箱里有水。,冷蔵庫に水があります。,There is water in the refrigerator.,冰箱里还有一些水果和饮料。,冷蔵庫の中にまだ果物と飲み物があります。
25,不但…而且…,bù dàn …ér qiě …,not only ... but also...,〜だけでなく〜も,他不但聪明，而且努力。,彼は頭が良いだけでなく、一生懸命です。,He is not only smart but also hardworking.,他不但会说英语，而且会说法语。,彼は英語だけでなく、フランス語も話せます。
26,菜单,cài dān,"menu; CL:份[fen4] ,张[zhang1]",メニュー,请给我菜单。,メニューをください。,Please give me the menu.,服务员，请给我菜单，谢谢。,店員さん、メニューをください、ありがとうございます。
27,参加,cān jiā,to participate; to take part; to join,参加する,我要参加比赛。,私は試合に参加します。,I want to participate in the competition.,我计划参加明天的篮球比赛。,私は明日のバスケットボールの試合に参加する予定です。
28,草,cǎo,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1] ,撮[zuo3] ,株[zhu1] ,根[gen1]",草,草很绿。,草がとても緑です。,The grass is very green.,春天的时候，草地变得又绿又美。,春になると、草地が緑で美しくなります。
29,层,céng,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),階,他住三层。,彼は三階に住んでいます。,He lives on the third floor.,这座大楼有二十层，非常高。,このビルは20階建てで、とても高いです。
30,差,chà,differ from; short of; to lack; poor,悪い,成绩不差。,成績は悪くありません。,The grades are not bad.,今天的天气差，可能会下雨。,今日の天気は悪く、雨が降るかもしれません。
31,超市,chāo shì,supermarket (abbr.); CL:家[jia1],スーパー,去超市买菜。,スーパーに買い物に行きます。,Go to the supermarket to buy groceries.,超市里有很多新鲜的水果和蔬菜。,スーパーには新鮮な果物と野菜がたくさんあります。
32,衬衫,chèn shān,shirt; blouse; CL:件[jian4],シャツ,我买衬衫。,私はシャツを買います。,I buy a shirt.,他今天穿了一件蓝色的衬衫。,彼は今日青いシャツを着ています。
33,城市,chéng shì,city; town; CL:座[zuo4],都市,城市很大。,街はとても大きいです。,The city is very big.,北京是中国最大的城市之一。,北京は中国で最大の都市の一つです。
34,成绩,chéng jì,"achievement; performance records; grades; CL:项[xiang4] ,个",成績,成绩很好。,成績はとても良いです。,The grades are very good.,这次考试我的成绩比上次好。,今回の試験で私の成績は前回より良かったです。
35,迟到,chí dào,to arrive late,遅刻する,我迟到了。,私は遅刻しました。,I am late.,他因为迟到被老师批评了。,彼は遅刻したため先生に叱られました。
36,除了,chú le,besides; apart from (... also...); in addition to; except (for),〜以外に,除了他，我都去。,彼以外はみんな行きます。,Everyone except him is going.,除了学习，他还喜欢运动和音乐。,勉強のほかに、彼はスポーツと音楽も好きです。
37,船,chuán,"a boat; vessel; ship; CL:条[tiao2] ,艘[sou1] ,只[zhi1]",船,船在水上。,船は水の上にあります。,The boat is on the water.,我们坐船去海岛旅游，非常愉快。,私たちは船に乗って島へ旅行に行き、とても楽しかったです。
38,春,chūn,spring (time); gay; joyful; youthful; love; lust; life,春,春天来了。,春が来ました。,Spring has come.,春天花开了，天气也变暖和了。,春になると花が咲き、天気も暖かくなりました。
39,词典,cí diǎn,"dictionary (of Chinese compound words); CL:部[bu4] ,本[ben3]",辞書,我看词典。,私は辞書を見ます。,I look at the dictionary.,当你不懂一个词时，可以查词典。,わからない単語があったら、辞書を調べられます。
40,聪明,cōng ming,acute (of sight and hearing); clever; intelligent; bright; smart,賢い,她很聪明。,彼女はとても賢いです。,She is very smart.,她很聪明，学习成绩一直很好。,彼女はとても賢く、成績はずっと良いです。
41,打扫,dǎ sǎo,to clean; to sweep,掃除する,我们打扫房间。,私たちは部屋を掃除します。,We clean the room.,请帮我打扫房间，谢谢你。,私の部屋を掃除するのを手伝ってください、ありがとう。
42,打算,dǎ suàn,to plan; to intend; to calculate; plan; intention; calculation; CL:个,計画する,我打算学习。,私は勉強するつもりです。,I plan to study.,我打算明年去中国学习汉语。,私は来年中国に行って中国語を勉強するつもりです。
43,带,dài,band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to lead; to bring; to look after; to raise; CL:条[tiao2];,持つ,请带伞。,傘を持ってきてください。,Please bring an umbrella.,出门的时候别忘了带伞。,外出の時は傘を持っていくのを忘れないでください。
44,担心,dān xīn,anxious; worried; uneasy; to worry; to be anxious,心配する,别担心。,心配しないで。,Don't worry.,考试成绩出来了，我有点儿担心。,試験の結果が出て、私は少し心配しています。
45,蛋糕,dàn gāo,"cake; CL:块[kuai4] ,个",ケーキ,我喜欢蛋糕。,私はケーキが好きです。,I like cake.,生日那天，大家一起吃蛋糕庆祝。,誕生日の日に、みんなでケーキを食べてお祝いしました。
46,当然,dāng rán,of course; without doubt; only natural; as it should be; certainly;,もちろん,当然可以。,もちろんできます。,Of course you can.,当然，我会帮你完成这个任务。,もちろん、私はあなたのこの仕事を手伝います。
47,地,de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct;",〜に（副詞化）,他跑得快。,彼は速く走ります。,He runs fast.,他认真地听老师讲课。,彼は先生の授業を真剣に聞いています。
48,灯,dēng,lamp; light; lantern; CL:盏[zhan3],電灯,灯亮了。,電気がつきました。,The light is on.,晚上请把灯关掉，节约用电。,夜は電気を消して、節電しましょう。
49,地方,dì fang,region; regional (away from the central administration),場所,这里是好地方。,ここは良い場所です。,This is a good place.,这里是一个很安静的地方，适合学习。,ここはとても静かな場所で、勉強に適しています。
50,地铁,dì tiě,subway; metro,地下鉄,我坐地铁。,私は地下鉄に乗ります。,I take the subway.,我每天早上坐地铁去公司上班。,私は毎朝地下鉄に乗って会社に通勤しています。
51,地图,dì tú,"map; CL:张[zhang1] ,本[ben3]",地図,请给我一张地图。,地図を一枚ください。,Please give me a map.,请你给我一张详细的地图，我想去那个公园。,詳しい地図を一枚ください、あの公園に行きたいです。
52,电梯,diàn tī,"elevator; CL:台[tai2] ,部[bu4]",エレベーター,电梯在右边。,エレベーターは右側にあります。,The elevator is on the right.,这座楼有三部电梯，可以很快到达十楼。,このビルには3台のエレベーターがあり、10階にすぐ行けます。
53,电子邮件,diàn zǐ yóu jiàn,electronic mail; email; CL:封[feng1],メール,我发了电子邮件。,私はメールを送りました。,I sent an email.,我昨天给老师发了一封重要的电子邮件。,昨日先生に重要な電子メールを一通送りました。
54,东,dōng,east; host (i.e. sitting on east side of guest); landlord; surname Dong,東,学校在东边。,学校は東側にあります。,The school is on the east side.,太阳从东方升起，早晨的风景很美。,太陽は東から昇り、朝の風景はとても美しいです。
55,冬,dōng,winter,冬,冬天很冷。,冬はとても寒いです。,Winter is very cold.,冬天的时候，我们喜欢喝热茶和吃火锅。,冬の時期には、私たちは熱いお茶を飲んで火鍋を食べるのが好きです。
56,动物,dòng wù,"animal; CL:只[zhi1] ,群[qun2] ,个",動物,我喜欢动物。,私は動物が好きです。,I like animals.,动物园里有很多不同种类的动物，非常有趣。,動物園にはたくさんの異なる種類の動物がいて、とても面白いです。
57,短,duǎn,short or brief; to lack; weak point; fault,短い,这条裙子很短。,このスカートはとても短いです。,This skirt is very short.,这条裙子太短了，不适合在正式场合穿。,このスカートは短すぎて、正式な場にはふさわしくありません。
58,段,duàn,"paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc",段,这是一段故事。,これは一つの物語です。,This is a story.,请把这段话翻译成中文，明天交给老师。,この一段の文章を中国語に翻訳して、明日先生に提出してください。
59,锻炼,duàn liàn,to engage in physical exercise; to toughen; to temper,運動,每天锻炼身体。,毎日体を鍛えます。,Exercise every day.,每天早上我都会去公园锻炼身体，保持健康。,毎朝公園に行って体を鍛え、健康を保っています。
60,多么,duō me,how (wonderful etc); what (a great idea etc); however (difficult it may be etc),どれほど,你多么漂亮！,あなたはなんて美しいのでしょう！,How beautiful you are!,你知道他多么努力学习，才取得这么好的成绩。,彼がどれほど一生懸命勉強してこんなに良い成績を取ったか知っていますか。
61,饿,è a,to be hungry; hungry,空腹,我很饿了。,私はとてもお腹が空きました。,I am very hungry.,我现在很饿，想去附近的餐厅吃饭。,今とてもお腹が空いているので、近くのレストランに食べに行きたいです。
62,耳朵,ěr duo,"ear; CL:只[zhi1] ,个,对[dui4]",耳,你的耳朵疼吗？,あなたの耳は痛いですか？,Does your ear hurt?,你的耳朵哪里不舒服？需要我帮你看看吗？,あなたの耳はどこが具合悪いのですか？見てあげましょうか？
63,发,fā,to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds),送る,他发了短信。,彼はショートメッセージを送りました。,He sent a text message.,公司今天发了新产品的宣传资料给所有员工。,会社は今日、新製品の宣伝資料を全従業員に配りました。
64,发烧,fā shāo,have a high temperature (from illness); have a fever,熱がある,他发烧了。,彼は熱が出ました。,He has a fever.,他昨天晚上发烧了，所以今天没来上班。,彼は昨晩熱が出たので、今日は出勤しませんでした。
65,发现,fā xiàn,to find; to discover,発見する,我发现一个问题。,私は一つの問題を見つけました。,I found a problem.,我发现学习汉语的方法比以前更有效了。,私は中国語の勉強法が以前より効果的だと気づきました。
66,方便,fāng biàn,convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet,便利,这个地方很方便。,この場所はとても便利です。,This place is very convenient.,这个手机使用起来很方便，功能也很多。,この携帯電話は使いやすく、機能もたくさんあります。
67,放,fàng,to release; to free; to let go; to put; to place; to let out; to set off (fireworks),置く,请把书放这里。,本をここに置いてください。,Please put the book here.,请把书放在桌子上，不要弄乱了。,本を机の上に置いてください、散らかさないでください。
68,放心,fàng xīn,to set one's mind at rest; to be at ease; to rest,安心する,你放心吧。,安心してください。,Don't worry.,考试没问题，你放心，我会帮你复习的。,試験は大丈夫です、安心してください、私が復習を手伝います。
69,分,fēn,to divide; to separate; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money),分,时间分得很细。,時間は細かく分けられています。,Time is divided very precisely.,这道题我用了三分钟才做完，分数还不错。,この問題は3分かけてやっと解き終わりましたが、点数は悪くなかったです。
70,复习,fù xí,to revise; to review; revision; CL:次[ci4],復習する,我要复习汉语。,私は中国語を復習します。,I want to review Chinese.,每天复习课文可以帮助你更好地记忆单词。,毎日教科書を復習することは、単語をよりよく覚えるのに役立ちます。
71,附近,fù jìn,(in the) vicinity; nearby; neighboring; next to,近く,学校附近有超市。,学校の近くにスーパーがあります。,There is a supermarket near the school.,我家附近有一个很大的超市，买东西很方便。,私の家の近くに大きなスーパーがあり、買い物がとても便利です。
72,干净,gān jìng,neat and tidy; clean,清潔,房间很干净。,部屋はとてもきれいです。,The room is very clean.,请保持房间干净，明天有客人来访。,部屋をきれいに保ってください、明日お客さんが来ます。
73,感冒,gǎn mào,to catch cold; (common) cold; CL:次[ci4],風邪,他感冒了。,彼は風邪をひきました。,He caught a cold.,感冒的时候要多休息，多喝水才会快点好。,風邪をひいたときは、たくさん休んで水を飲むと早く治ります。
74,感兴趣,gǎn xìng qù,to be interested;,興味がある,我对音乐感兴趣。,私は音楽に興味があります。,I am interested in music.,我对中国文化很感兴趣，所以开始学习汉语。,私は中国の文化にとても興味があるので、中国語の勉強を始めました。
75,刚才,gāng cái,just now; a moment ago,さっき,刚才我去了商店。,さっき私はお店に行きました。,I went to the store just now.,刚才你打电话来了，但是我没听见。,さっきあなたが電話をかけてくれましたが、聞こえませんでした。
76,个子,gè zi,height; stature; build; size,身長,他个子很高。,彼は背が高いです。,He is tall.,他个子很高，篮球打得也非常好。,彼は背が高く、バスケットボールもとても上手です。
77,根据,gēn jù,according to; based on; basis; foundation; CL:个,〜によると,根据老师的话。,先生の言葉によると。,According to the teacher's words.,根据天气预报，明天会下雨，请带伞。,天気予報によると、明日は雨が降るので傘を持ってきてください。
78,跟,gēn,with (someone); towards; as (compared to); and (in addition to); heel; to follow closely; to go with; to marry sb (of woman),〜と,我跟他一起去。,私は彼と一緒に行きます。,I go with him.,我跟朋友一起去看电影，玩得很开心。,友達と一緒に映画を見に行って、とても楽しかったです。
79,更,gèng,more; still more; even more,もっと,今天比昨天更冷。,今日は昨日よりもっと寒いです。,Today is colder than yesterday.,这次考试比上次更难，所以我很努力准备。,今回の試験は前回より難しかったので、一生懸命準備しました。
80,公斤,gōng jīn,kilogram (kg),キログラム,这个苹果一公斤。,このリンゴは1キログラムです。,This apple weighs one kilogram.,这个西瓜重五公斤，适合全家一起吃。,このスイカは5キログラムあり、家族みんなで食べるのにちょうどいいです。
81,公园,gōng yuán,public park; CL:场[chang3],公園,我们去公园玩。,私たちは公園に遊びに行きます。,We go to the park to play.,周末我们常常去公园散步，呼吸新鲜空气。,週末はよく公園に散歩に行って、新鮮な空気を吸います。
82,故事,gù shi,story; tale; narrative,物語,妈妈讲了个故事。,お母さんが話をしてくれました。,Mom told a story.,老师给我们讲了一个关于勇气的故事，很感人。,先生は私たちに勇気に関する話をしてくれて、とても感動的でした。
83,刮风,guā fēng,to be windy,風が吹く,外面刮风了。,外は風が吹いています。,It is windy outside.,昨天下午刮风了，气温也变得很低。,昨日の午後は風が吹いて、気温もとても低くなりました。
84,关,guān,to close; to shut; to turn off; mountain pass; to concern; to involve,閉める,请关门。,ドアを閉めてください。,Please close the door.,请关门，外面风很大，别让冷空气进来。,ドアを閉めてください、外は風が強いので冷たい空気が入らないように。
85,关系,guān xì,relationship (network); relation; to concern; to affect; to have to do with; guanxi; CL:个,関係,我们有好关系。,私たちは良い関係を持っています。,We have a good relationship.,我们之间没有关系，所以可以坦诚交流。,私たちの間には特別な関係はないので、率直に話せます。
86,关心,guān xīn,to care for sth; caring; concerned,気にかける,老师很关心学生。,先生は学生をとても気にかけています。,The teacher cares a lot about the students.,谢谢你关心我，我现在感觉好多了。,気にかけてくれてありがとう、今はずいぶん良くなりました。
87,关于,guān yú,pertaining to; concerning; regarding; with regards to; about; a matter of,〜について,关于旅游的问题。,旅行に関する問題。,Questions about travel.,关于明天的会议，我已经准备好了所有材料。,明日の会議について、私はすべての資料を準備しました。
88,国家,guó jiā,country; nation; state; CL:个,国,中国是一个国家。,中国は一つの国です。,China is a country.,中国是一个历史悠久的国家，有丰富的文化。,中国は歴史の長い国で、豊かな文化があります。
89,过,guò,to cross; to go over; to pass (time); to get along,〜したことがある,我去过北京。,私は北京に行ったことがあります。,I have been to Beijing.,我去年去过北京，那里的故宫非常漂亮。,私は去年北京に行ったことがあり、故宮はとても美しかったです。
90,过去,guò qu,(in the) past; former; previous; to go over; to pass by,過去,过去的事情忘了吧。,過去のことは忘れましょう。,Let's forget the past.,过去的事情就让它过去，我们要向前看。,過去のことは過ぎ去らせて、私たちは前を向かなければなりません。
91,还是,hái shì,or; still; nevertheless,それとも,你喝茶还是咖啡？,あなたはお茶を飲みますか、それともコーヒーですか？,Do you drink tea or coffee?,你想喝茶还是咖啡？我都可以。,お茶がいいですか、それともコーヒーがいいですか？どちらでもいいです。
92,害怕,hài pà,to be afraid; to be scared,怖がる,我害怕黑暗。,私は暗闇が怖いです。,I am afraid of the dark.,小孩子害怕黑暗，所以睡觉时要开灯。,子供は暗闇が怖いので、寝るときは電気をつけます。
