番号,国旗,中国語の名言・格言,ピンイン,人物名・出典,日本語の解説
1,🇨🇳,授人以鱼不如授人以渔,shòu rén yǐ yú bù rú shòu rén yǐ yú,老子,人に魚を与えるより、魚の釣り方を教える方がよい。知識やスキルの習得の重要性を説く言葉。
2,🇨🇳,学如登山,xué rú dēng shān,中国のことわざ,学ぶことは山に登るようなものだ。険しい道のりだが、頂上からの景色は素晴らしい。
3,🇨🇳,念念不忘,niàn niàn bù wàng,中国のことわざ,常に心に留めて忘れないこと。学習したことを反復し、記憶に定着させる重要性を示す。
4,🇨🇳,三人行，必有我师,sān rén xíng ， bì yǒu wǒ shī,孔子,三人で行動すれば、必ずその中に自分の師となる人がいる。誰からでも学ぶべき点があるという教え。
5,🇨🇳,师傅领进门，修行在个人,shī fù lǐng jìn mén ， xiū xíng zài gè rén,中国のことわざ,師匠は門まで導いてくれるが、そこから先の修行は自分次第である。自発的な学習の重要性を説く。
6,🇨🇳,活到老，学到老,huó dào lǎo ， xué dào lǎo,中国のことわざ,老いるまで生き、老いるまで学ぶ。生涯学習の精神を表す言葉。
7,🇨🇳,严师出高徒,yán shī chū gāo tú,中国のことわざ,厳しい師匠からは優れた弟子が育つ。厳格な指導と学習の重要性を示す。
8,🇨🇳,读万卷书不如行万里路,dú wàn juàn shū bù rú xíng wàn lǐ lù,董其昌（明代の書画家）,万巻の書を読むより、万里の道を歩く方がよい。実践的な経験や見聞を広めることの重要性を説く。
9,🇨🇳,学无止境,xué wú zhǐ jìng,中国のことわざ,学問に終わりはない。常に新しい知識を求め続けるべきだという教え。
10,🇨🇳,学然后知不足,xué rán hòu zhī bù zú,『礼記』,学んで初めて自分の知識の不足を知る。学習を進めることで謙虚になり、さらなる探求心を生む。
11,🇨🇳,教学相长,jiào xué xiāng zhǎng,『礼記』,教えることと学ぶことは互いに成長を促す。人に教えることで自分自身の理解も深まる。
12,🇨🇳,温故而知新,wēn gù ér zhī xīn,孔子,過去の知識や経験を復習し、そこから新しい知識や見解を得ること。
13,🇨🇳,玉不琢，不成器,yù bù zuó ， bù chéng qì,『礼記』,玉も磨かなければ器にならない。人も教育や学習を通じて初めて立派な人物になる。
14,🇨🇳,学如逆水行舟，不进则退,xué rú nì shuǐ xíng zhōu ， bù jìn zé tuì,中国のことわざ,学ぶことは流れに逆らって船を進めるようなもので、前進しなければ後退してしまう。継続的な学習の必要性を説く。
15,🇨🇳,书山有路勤为径，学海无涯苦作舟,shū shān yǒu lù qín wèi jìng ， xué hǎi wú yá kǔ zuò zhōu,韓愈（唐代の文学者）,書物の山に道はあるが勤勉さがその小道であり、学問の海に果てはないが苦労がその舟である。
16,🇨🇳,知之者不如好之者，好之者不如乐之者,zhī zhī zhě bù rú hǎo zhī zhě ， hǎo zhī zhě bù rú lè zhī zhě,孔子,これを知る者はこれを好む者に如かず、これを好む者はこれを楽しむ者に如かず。学習を楽しむことが最高の上達法。
17,🇨🇳,学而不思则罔，思而不学则殆,xué ér bù sī zé wǎng ， sī ér bù xué zé dài,孔子,学んで思わざれば則ち罔し、思うて学ばざれば則ち殆し。知識と思考の両方が不可欠である。
18,🇨🇳,吾十有五而志于学,wú shí yǒu wǔ ér zhì yú xué,孔子,十五にして学に志す。若い頃から学問に目標を持ち、努力を始めること。
19,🇨🇳,三十而立,sān shí ér lì,孔子,三十にして立つ。学問によって自立し、自分の考えを確立すること。
20,🇨🇳,四十而不惑,sì shí ér bù huò,孔子,四十にして惑わず。道理を理解し、迷うことなく学習や人生を進めること。
21,🇨🇳,五十而知天命,wǔ shí ér zhī tiān mìng,孔子,五十にして天命を知る。自分の使命や役割を理解し、それに沿って学び生きること。
22,🇨🇳,有教无类,yǒu jiào wú lèi,孔子,教えありて類なし。教育は誰にでも平等に与えられるべきであり、学ぶ意欲があれば誰でも成長できる。
23,🇨🇳,知之为知之，不知为不知，是知也,zhī zhī wéi zhī zhī ， bù zhī wèi bù zhī ， shì zhī yě,孔子,知っていることは知っているとし、知らないことは知らないとする。それが本当の知るということだ。
24,🇨🇳,三军可夺帅也，匹夫不可夺志也,sān jūn kě duó shuài yě ， pǐ fū bù kě duó zhì yě,孔子,大軍の将軍は奪うことができるが、一人の男の志は奪うことができない。学習に対する強い信念を持つこと。
25,🇨🇳,过而不改，是谓过矣,guò ér bù gǎi ， shì wèi guò yǐ,孔子,過ちて改めざる、これを過ちという。学習での間違いを素直に認め、修正することの重要性。
26,🇨🇳,欲速则不达,yù sù zé bù dá,孔子,急がば回れ。焦って結果を求めるとかえって失敗する。基礎から着実に学ぶことの重要性。
27,🇨🇳,过犹不及,guò yóu bù jí,孔子,過ぎたるは及ばざるが如し。学習においても無理をしすぎず、適度なペースを保つこと。
28,🇨🇳,君子和而不同，小人同而不和,jūn zǐ hé ér bù tóng ， xiǎo rén tóng ér bù hé,孔子,優れた人は協調するが同調はしない。自分の主体性を持ちながら、他者から学ぶ姿勢。
29,🇨🇳,有朋自远方来 不亦乐乎,yǒu péng zì yuǎn fāng lái   bù yì lè hū,孔子,友が遠方から訪ねてくるのは楽しいことだ。共に学ぶ仲間との交流の喜びを表す。
30,🇨🇳,譬如为山，未成一篑，止吾止也,pì rú wèi shān ， wèi chéng yī kuì ， zhǐ wú zhǐ yě,孔子,山を作るようなもので、最後の一杯の土を盛らずにやめるのは自分の責任だ。学習を途中で投げ出さないことの重要性。
31,🇨🇳,内省不疚，夫何忧何惧,nèi xǐng bù jiù ， fū hé yōu hé jù,孔子,心にやましいところがなければ、何を憂い恐れることがあろうか。自信を持って学習の成果を発揮すること。
